"","wiggly.noisy","wiggly.quiet","smooth.noisy","smooth.quiet"
"0.1",1692.35344373216,114.642730818277,1843.55952426162,70.9662239927461
"0.2",1917.8345206987,256.611912862073,1956.28653353517,83.9022812532738
"0.3",2014.18293423154,314.309173496644,2003.05578754544,102.619719692822
"0.4",2042.84856610456,322.338027701709,2042.24930750297,133.537506963601
"0.5",2054.24100568801,324.290207535659,2097.85020349777,179.879626827507
"0.6",2060.04267222373,325.467620174577,2176.15395302224,239.698878367499
"0.7",2063.43612615926,326.279666231204,2272.84906691189,310.666110346164
"0.8",2065.64209886633,326.842399713779,2381.88999520462,391.218825368983
"0.9",2067.20554201943,327.233931453378,2498.48917583508,480.639325347536
"1",2068.39199490688,327.514189634603,2619.38221707232,578.753647537362
"1.1",2069.33973914756,327.726387948621,2742.56906359747,685.354728316671
"1.2",2070.12686096298,327.89906638735,2866.94585237432,799.755349036545
"1.3",2070.80043282952,328.049342460825,2991.89852673051,920.683220907455
"1.4",2071.38947522119,328.186322678714,3116.96635548548,1046.44460653287
"1.5",2071.9118030329,328.314063274124,3241.64749339125,1175.18791681609
"1.6",2072.37839353896,328.433812650585,3365.34733657128,1305.14335583026
"1.7",2072.79631690188,328.545513178116,3487.42466105922,1434.78762082629
"1.8",2073.17059950737,328.648691795952,3607.27958400319,1562.93085430933
"1.9",2073.50529981755,328.742919219512,3724.43866498189,1688.74227363523
"2",2073.80405603258,328.828000321008,3838.61152067895,1811.73336002759
"2.1",2074.07031636333,328.904015289533,3949.71070893594,1931.71407878608
"2.2",2074.30740033889,328.971288559693,4057.83846136215,2048.73381483388
"2.3",2074.51848385486,329.030330181945,4163.24987119319,2163.01602536983
"2.4",2074.70655983739,329.081773134879,4266.30372061006,2274.89373479754
"2.5",2074.87440015224,329.126317512375,4367.41091105788,2384.75132379706
"2.6",2075.02452916578,329.164685614549,4466.98786073069,2492.97629620874
"2.7",2075.15921134908,329.197588447929,4565.41929260162,2599.92289327348
"2.8",2075.28045155972,329.225702507756,4663.0322084658,2705.88777971634
"2.9",2075.39000520865,329.249655092884,4760.08085565408,2811.09675146739
"3",2075.48939527352,329.270016298999,4856.74122302042,2915.70060702564
"4",2076.13676193546,329.361772150446,5798.33267666586,3922.27456368398
"5",2076.47371673698,329.380822703253,6612.92430028151,4777.98892748373
"6",2076.67497004117,329.386323262449,7239.80828524796,5430.83381223693
"10",2076.99392351157,329.392442457446,8481.93857451259,6716.60904440392
